Facts: Value;Indicators: Key;Indicators: Name;Indicators: Description;Indicators: Full Name;Date;Time Period;Regions: Key;Regions: Code;Regions: Name
2461.3618578393839;259;Final consumption ;;A prix constants de 1999 (milliards de FCFA)\Final consumption ;1993-01-01 00:00:00;Annual;16754916;;Senegal
2354.8854984390582;259;Final consumption ;;A prix constants de 1999 (milliards de FCFA)\Final consumption ;1994-01-01 00:00:00;Annual;16754916;;Senegal
2420.1746289710213;259;Final consumption ;;A prix constants de 1999 (milliards de FCFA)\Final consumption ;1995-01-01 00:00:00;Annual;16754916;;Senegal
2482.3347231006919;259;Final consumption ;;A prix constants de 1999 (milliards de FCFA)\Final consumption ;1996-01-01 00:00:00;Annual;16754916;;Senegal
2521.3172458686577;259;Final consumption ;;A prix constants de 1999 (milliards de FCFA)\Final consumption ;1997-01-01 00:00:00;Annual;16754916;;Senegal
2071.0346322637424;259;Final consumption ;;A prix constants de 1999 (milliards de FCFA)\Final consumption ;1986-01-01 00:00:00;Annual;16754916;;Senegal
2150.5558652850123;259;Final consumption ;;A prix constants de 1999 (milliards de FCFA)\Final consumption ;1987-01-01 00:00:00;Annual;16754916;;Senegal
2213.9474116383053;259;Final consumption ;;A prix constants de 1999 (milliards de FCFA)\Final consumption ;1988-01-01 00:00:00;Annual;16754916;;Senegal
2278.0062231089896;259;Final consumption ;;A prix constants de 1999 (milliards de FCFA)\Final consumption ;1989-01-01 00:00:00;Annual;16754916;;Senegal
2275.1543915547772;259;Final consumption ;;A prix constants de 1999 (milliards de FCFA)\Final consumption ;1990-01-01 00:00:00;Annual;16754916;;Senegal
2311.4231159820079;259;Final consumption ;;A prix constants de 1999 (milliards de FCFA)\Final consumption ;1991-01-01 00:00:00;Annual;16754916;;Senegal
1868.6140294638299;316;GDP;;A prix constants de 1999 (milliards de FCFA)\GDP;1980-01-01 00:00:00;Annual;16754916;;Senegal
1963.3437248153962;316;GDP;;A prix constants de 1999 (milliards de FCFA)\GDP;1981-01-01 00:00:00;Annual;16754916;;Senegal
2117.3300420146211;316;GDP;;A prix constants de 1999 (milliards de FCFA)\GDP;1982-01-01 00:00:00;Annual;16754916;;Senegal
2004.552728777491;316;GDP;;A prix constants de 1999 (milliards de FCFA)\GDP;1983-01-01 00:00:00;Annual;16754916;;Senegal
2079.6385504674322;316;GDP;;A prix constants de 1999 (milliards de FCFA)\GDP;1984-01-01 00:00:00;Annual;16754916;;Senegal
2147.9228728028984;316;GDP;;A prix constants de 1999 (milliards de FCFA)\GDP;1985-01-01 00:00:00;Annual;16754916;;Senegal
4882.0438224464579;316;GDP;;A prix constants de 1999 (milliards de FCFA)\GDP;2010-01-01 00:00:00;Annual;16754916;;Senegal
4965.9260499615884;316;GDP;;A prix constants de 1999 (milliards de FCFA)\GDP;2011-01-01 00:00:00;Annual;16754916;;Senegal
5132.193957383337;316;GDP;;A prix constants de 1999 (milliards de FCFA)\GDP;2012-01-01 00:00:00;Annual;16754916;;Senegal
3885.5808870794108;316;GDP;;A prix constants de 1999 (milliards de FCFA)\GDP;2004-01-01 00:00:00;Annual;16754916;;Senegal
4104.0518244548921;316;GDP;;A prix constants de 1999 (milliards de FCFA)\GDP;2005-01-01 00:00:00;Annual;16754916;;Senegal
4205.0759433985922;316;GDP;;A prix constants de 1999 (milliards de FCFA)\GDP;2006-01-01 00:00:00;Annual;16754916;;Senegal
4412.7429915856492;316;GDP;;A prix constants de 1999 (milliards de FCFA)\GDP;2007-01-01 00:00:00;Annual;16754916;;Senegal
4575.2433295009168;316;GDP;;A prix constants de 1999 (milliards de FCFA)\GDP;2008-01-01 00:00:00;Annual;16754916;;Senegal
4686.1095237139871;316;GDP;;A prix constants de 1999 (milliards de FCFA)\GDP;2009-01-01 00:00:00;Annual;16754916;;Senegal
2977.8006527107359;316;GDP;;A prix constants de 1999 (milliards de FCFA)\GDP;1998-01-01 00:00:00;Annual;16754916;;Senegal
3166.8051083092305;316;GDP;;A prix constants de 1999 (milliards de FCFA)\GDP;1999-01-01 00:00:00;Annual;16754916;;Senegal
3268.1108248354403;316;GDP;;A prix constants de 1999 (milliards de FCFA)\GDP;2000-01-01 00:00:00;Annual;16754916;;Senegal
3417.8202509482717;316;GDP;;A prix constants de 1999 (milliards de FCFA)\GDP;2001-01-01 00:00:00;Annual;16754916;;Senegal
3440.200262615273;316;GDP;;A prix constants de 1999 (milliards de FCFA)\GDP;2002-01-01 00:00:00;Annual;16754916;;Senegal
3669.6905234789647;316;GDP;;A prix constants de 1999 (milliards de FCFA)\GDP;2003-01-01 00:00:00;Annual;16754916;;Senegal
2504.75824643428;316;GDP;;A prix constants de 1999 (milliards de FCFA)\GDP;1992-01-01 00:00:00;Annual;16754916;;Senegal
2537.3396509359222;316;GDP;;A prix constants de 1999 (milliards de FCFA)\GDP;1993-01-01 00:00:00;Annual;16754916;;Senegal
2536.8999640140787;316;GDP;;A prix constants de 1999 (milliards de FCFA)\GDP;1994-01-01 00:00:00;Annual;16754916;;Senegal
2672.9659057860163;316;GDP;;A prix constants de 1999 (milliards de FCFA)\GDP;1995-01-01 00:00:00;Annual;16754916;;Senegal
2726.749324030126;316;GDP;;A prix constants de 1999 (milliards de FCFA)\GDP;1996-01-01 00:00:00;Annual;16754916;;Senegal
2811.9338804321624;316;GDP;;A prix constants de 1999 (milliards de FCFA)\GDP;1997-01-01 00:00:00;Annual;16754916;;Senegal
2214.7950086460542;316;GDP;;A prix constants de 1999 (milliards de FCFA)\GDP;1986-01-01 00:00:00;Annual;16754916;;Senegal
2349.7729128182391;316;GDP;;A prix constants de 1999 (milliards de FCFA)\GDP;1987-01-01 00:00:00;Annual;16754916;;Senegal
2335.8521296141857;316;GDP;;A prix constants de 1999 (milliards de FCFA)\GDP;1988-01-01 00:00:00;Annual;16754916;;Senegal
2428.768965691123;316;GDP;;A prix constants de 1999 (milliards de FCFA)\GDP;1989-01-01 00:00:00;Annual;16754916;;Senegal
2412.3592759656726;316;GDP;;A prix constants de 1999 (milliards de FCFA)\GDP;1990-01-01 00:00:00;Annual;16754916;;Senegal
2474.0149680139029;316;GDP;;A prix constants de 1999 (milliards de FCFA)\GDP;1991-01-01 00:00:00;Annual;16754916;;Senegal
-107.01300000000003;383;balancy of goods and services (current billion FCFA);;Agrégats (milliards de FCFA)\balancy of goods and services;1980-01-01 00:00:00;Annual;16754916;;Senegal
-170.81500000000005;383;balancy of goods and services (current billion FCFA);;Agrégats (milliards de FCFA)\balancy of goods and services;1981-01-01 00:00:00;Annual;16754916;;Senegal
-145.64699999999999;383;balancy of goods and services (current billion FCFA);;Agrégats (milliards de FCFA)\balancy of goods and services;1982-01-01 00:00:00;Annual;16754916;;Senegal
-175.46800000000002;383;balancy of goods and services (current billion FCFA);;Agrégats (milliards de FCFA)\balancy of goods and services;1983-01-01 00:00:00;Annual;16754916;;Senegal
-179.79799999999994;383;balancy of goods and services (current billion FCFA);;Agrégats (milliards de FCFA)\balancy of goods and services;1984-01-01 00:00:00;Annual;16754916;;Senegal
-151.69000000000005;383;balancy of goods and services (current billion FCFA);;Agrégats (milliards de FCFA)\balancy of goods and services;1985-01-01 00:00:00;Annual;16754916;;Senegal
-985.13199999999983;383;balancy of goods and services (current billion FCFA);;Agrégats (milliards de FCFA)\balancy of goods and services;2010-01-01 00:00:00;Annual;16754916;;Senegal
-1253.93209;383;balancy of goods and services (current billion FCFA);;Agrégats (milliards de FCFA)\balancy of goods and services;2011-01-01 00:00:00;Annual;16754916;;Senegal
-1554.2717683042736;383;balancy of goods and services (current billion FCFA);;Agrégats (milliards de FCFA)\balancy of goods and services;2012-01-01 00:00:00;Annual;16754916;;Senegal
-535.87200000000007;383;balancy of goods and services (current billion FCFA);;Agrégats (milliards de FCFA)\balancy of goods and services;2004-01-01 00:00:00;Annual;16754916;;Senegal
-707.58300000000008;383;balancy of goods and services (current billion FCFA);;Agrégats (milliards de FCFA)\balancy of goods and services;2005-01-01 00:00:00;Annual;16754916;;Senegal
-854.9670000000001;383;balancy of goods and services (current billion FCFA);;Agrégats (milliards de FCFA)\balancy of goods and services;2006-01-01 00:00:00;Annual;16754916;;Senegal
-1211.4100000000001;383;balancy of goods and services (current billion FCFA);;Agrégats (milliards de FCFA)\balancy of goods and services;2007-01-01 00:00:00;Annual;16754916;;Senegal
-1576.6199999999999;383;balancy of goods and services (current billion FCFA);;Agrégats (milliards de FCFA)\balancy of goods and services;2008-01-01 00:00:00;Annual;16754916;;Senegal
-1018.4749999999999;383;balancy of goods and services (current billion FCFA);;Agrégats (milliards de FCFA)\balancy of goods and services;2009-01-01 00:00:00;Annual;16754916;;Senegal
-194.84799999999996;383;balancy of goods and services (current billion FCFA);;Agrégats (milliards de FCFA)\balancy of goods and services;1998-01-01 00:00:00;Annual;16754916;;Senegal
-221.63;383;balancy of goods and services (current billion FCFA);;Agrégats (milliards de FCFA)\balancy of goods and services;1999-01-01 00:00:00;Annual;16754916;;Senegal
-309.57700000000011;383;balancy of goods and services (current billion FCFA);;Agrégats (milliards de FCFA)\balancy of goods and services;2000-01-01 00:00:00;Annual;16754916;;Senegal
-323.15100000000007;383;balancy of goods and services (current billion FCFA);;Agrégats (milliards de FCFA)\balancy of goods and services;2001-01-01 00:00:00;Annual;16754916;;Senegal
-387.24299999999994;383;balancy of goods and services (current billion FCFA);;Agrégats (milliards de FCFA)\balancy of goods and services;2002-01-01 00:00:00;Annual;16754916;;Senegal
-482.90000000000009;383;balancy of goods and services (current billion FCFA);;Agrégats (milliards de FCFA)\balancy of goods and services;2003-01-01 00:00:00;Annual;16754916;;Senegal
